SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR,FAMILY_CODE
Mareca penelope x americana,Eurasian x American Wigeon (hybrid),x00421,hybrid,522.0,AMWI EUWI,MAPE MAAM,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca penelope x sibilatrix,Eurasian x Chiloe Wigeon (hybrid),x00998,hybrid,525.0,CHWI EUWI,MASI MAPE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Alopochen aegyptiaca x Anas platyrhynchos,Egyptian Goose x Mallard (hybrid),x01147,hybrid,549.0,EGGO MALL,ALAE ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tadorna ferruginea x Anas platyrhynchos,Ruddy Shelduck x Mallard (hybrid),x01148,hybrid,550.0,RUSH MALL,TAFE ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cairina moschata x Anas platyrhynchos,Muscovy Duck x Mallard (hybrid),mdxmal1,hybrid,551.0,MUDU MALL,ANPL CAMO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aix sponsa x Anas platyrhynchos,Wood Duck x Mallard (hybrid),x00205,hybrid,552.0,WODU AWDU CWDU MALL,ANPL AISP,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula clypeata x Anas platyrhynchos,Northern Shoveler x Mallard (hybrid),x00612,hybrid,553.0,NSHO NOSH MALL,SPCL ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca strepera x Anas platyrhynchos,Gadwall x Mallard (hybrid),x00420,hybrid,554.0,GADW MALL,MAST ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca falcata x Anas platyrhynchos,Falcated Duck x Mallard (hybrid),x01221,hybrid,555.0,FADU MALL,MAFA ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca penelope x Anas platyrhynchos,Eurasian Wigeon x Mallard (hybrid),x00647,hybrid,556.0,EUWI MALL,MAPE ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca americana x Anas platyrhynchos,American Wigeon x Mallard (hybrid),x00611,hybrid,557.0,AMWI MALL,ANPL MAAM,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas sparsa x platyrhynchos,African Black Duck x Mallard (hybrid),x01149,hybrid,558.0,ABDU MALL,ANSP ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas undulata x platyrhynchos,Yellow-billed Duck x Mallard (hybrid),x00760,hybrid,559.0,MALL YBDU,ANUN ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas superciliosa x platyrhynchos,Pacific Black Duck x Mallard (hybrid),x00458,hybrid,560.0,GRDU PBDU MALL,ANSU ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas wyvilliana x platyrhynchos,Hawaiian Duck x Mallard (hybrid),x00423,hybrid,561.0,HADU MALL HAWD,ANWY ANPL,MHDH,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas poecilorhyncha x platyrhynchos,Indian Spot-billed Duck x Mallard (hybrid),x00834,hybrid,562.0,ISBD MALL,ANPO ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas zonorhyncha x platyrhynchos,Eastern Spot-billed Duck x Mallard (hybrid),x00835,hybrid,563.0,ESBD CSBD MALL,ANZO ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas platyrhynchos x diazi,Mallard x Mexican Duck (hybrid),mallar4,hybrid,569.0,MEDU MALL MODU,ANDI ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca americana x Anas rubripes,American Wigeon x American Black Duck (hybrid),x00941,hybrid,572.0,ABDU AMWI,ANRU MAAM,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas platyrhynchos x rubripes,Mallard x American Black Duck (hybrid),x00004,hybrid,573.0,ABDU MALL,ANRU ANPL,MBDH,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas platyrhynchos x fulvigula,Mallard x Mottled Duck (hybrid),x00422,hybrid,578.0,MODU MALL,ANFU ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
